Sample,Sample.ogg, 1, 250, 1, 1400, 353;
193, 1, 4, 0, 84, 2, 0, 0;
194, 1, 4, 0, 84, 3, 0, 0;
195, 1, 4, 0, 84, 4, 0, 0;
196, 1, 4, 0, 85, 1, 0, 0;
197, 1, 1, 0, 85, 2, 0, 0;
198, 1, 3, 0, 85, 3, 0, 0;
199, 1, 2, 0, 85, 4, 0, 0;
200, 1, 6, 0, 86, 1, 0, 0;
201, 1, 5, 0, 86, 2, 0, 0;
202, 1, 6, 0, 86, 3, 0, 0;
203, 1, 2, 0, 87, 1, 0, 0;
204, 1, 3, 0, 87, 2, 0, 0;
205, 1, 1, 0, 87, 3, 0, 0;
206, 1, 4, 0, 87, 4, 0, 0;
207, 1, 5, 0, 88, 1, 0, 0;
208, 1, 6, 0, 88, 3, 0, 0;
209, 1, 1, 0, 89, 1, 0, 0;
210, 1, 1, 0, 89, 2, 0, 0;
211, 1, 1, 0, 89, 3, 0, 0;
212, 1, 1, 0, 89, 4, 0, 0;
213, 1, 3, 0, 90, 1, 0, 0;
214, 1, 3, 0, 90, 2, 0, 0;
215, 1, 3, 0, 90, 3, 0, 0;
216, 1, 3, 0, 90, 4, 0, 0;
217, 1, 2, 0, 91, 1, 0, 0;
218, 1, 2, 0, 91, 2, 0, 0;
219, 1, 2, 0, 91, 3, 0, 0;
220, 1, 2, 0, 91, 4, 0, 0;
221, 1, 4, 0, 92, 1, 0, 0;
222, 1, 4, 0, 92, 2, 0, 0;
223, 1, 4, 0, 92, 3, 0, 0;
224, 1, 4, 0, 92, 4, 0, 0;
225, 1, 5, 0, 93, 1, 0, 0;
226, 1, 5, 0, 93, 2, 0, 0;
227, 1, 6, 0, 93, 3, 0, 0;
228, 1, 6, 0, 93, 4, 0, 0;
229, 1, 5, 0, 94, 1, 0, 0;
230, 1, 3, 0, 94, 2, 0, 0;
231, 1, 1, 0, 94, 3, 0, 0;
232, 1, 1, 0, 95, 1, 0, 0;
233, 1, 2, 0, 95, 2, 0, 0;
234, 1, 6, 0, 95, 3, 0, 0;
235, 1, 5, 0, 95, 4, 0, 0;
236, 1, 2, 0, 96, 1, 0, 0;
237, 1, 2, 0, 96, 3, 0, 0;
238, 1, 2, 0, 97, 1, 0, 0;
239, 1, 5, 0, 97, 3, 0, 0;
240, 1, 2, 0, 98, 1, 0, 0;
241, 1, 5, 0, 98, 3, 0, 0;
242, 1, 2, 0, 99, 1, 0, 0;
243, 1, 5, 0, 99, 3, 0, 0;
244, 1, 2, 0, 100, 1, 0, 0;
245, 1, 5, 0, 100, 3, 0, 0;
246, 1, 1, 0, 101, 1, 0, 0;
247, 1, 6, 0, 101, 3, 0, 0;
248, 1, 1, 0, 102, 1, 0, 0;
249, 1, 6, 0, 102, 3, 0, 0;
250, 1, 1, 0, 103, 1, 0, 0;
251, 1, 6, 0, 103, 3, 0, 0;
252, 1, 1, 0, 104, 1, 0, 0;
253, 1, 6, 0, 104, 3, 0, 0;
254, 1, 3, 0, 105, 1, 0, 0;
255, 1, 4, 0, 105, 3, 0, 0;
256, 1, 3, 0, 106, 1, 0, 0;
257, 1, 4, 0, 106, 3, 0, 0;
258, 1, 3, 0, 107, 1, 0, 0;
259, 1, 4, 0, 107, 3, 0, 0;
260, 1, 3, 0, 108, 1, 0, 0;
261, 1, 4, 0, 108, 3, 0, 0;
262, 1, 1, 0, 109, 1, 0, 0;
263, 1, 2, 0, 109, 3, 0, 0;
264, 1, 1, 0, 110, 1, 0, 0;
265, 1, 2, 0, 110, 3, 0, 0;
266, 1, 1, 0, 111, 1, 0, 0;
267, 1, 2, 0, 111, 3, 0, 0;
268, 1, 1, 0, 112, 1, 0, 0;
269, 1, 2, 0, 112, 3, 0, 0;
270, 1, 1, 0, 113, 1, 0, 0;
271, 1, 3, 0, 114, 1, 0, 0;
272, 1, 2, 0, 115, 1, 0, 0;
273, 1, 4, 0, 116, 1, 0, 0;
274, 1, 4, 0, 117, 1, 0, 0;
275, 1, 2, 0, 118, 1, 0, 0;
276, 1, 3, 0, 119, 1, 0, 0;
277, 1, 1, 0, 120, 1, 0, 0;
278, 1, 2, 0, 121, 1, 0, 0;
279, 1, 2, 0, 121, 3, 0, 0;
280, 1, 4, 0, 122, 1, 0, 0;
281, 1, 4, 0, 122, 3, 0, 0;
282, 1, 1, 0, 123, 1, 0, 0;
283, 1, 1, 0, 123, 3, 0, 0;
284, 1, 3, 0, 124, 1, 0, 0;
285, 1, 3, 0, 124, 3, 0, 0;
286, 1, 1, 0, 125, 1, 0, 0;
287, 1, 2, 0, 125, 3, 0, 0;
288, 1, 3, 0, 126, 1, 0, 0;
289, 1, 4, 0, 126, 3, 0, 0;
290, 1, 5, 0, 127, 1, 0, 0;
291, 1, 6, 0, 127, 3, 0, 0;
292, 1, 5, 0, 128, 1, 0, 0;
293, 1, 6, 0, 128, 2, 0, 0;
294, 1, 5, 0, 128, 3, 0, 0;
295, 1, 1, 0, 129, 1, 0, 0;
296, 1, 1, 0, 129, 2, 0, 0;
297, 1, 1, 0, 129, 3, 0, 0;
298, 1, 1, 0, 129, 4, 0, 0;
299, 1, 3, 0, 130, 1, 0, 0;
300, 1, 3, 0, 130, 2, 0, 0;
301, 1, 3, 0, 130, 3, 0, 0;
302, 1, 3, 0, 130, 4, 0, 0;
303, 1, 2, 0, 131, 1, 0, 0;
304, 1, 2, 0, 131, 2, 0, 0;
305, 1, 2, 0, 131, 3, 0, 0;
306, 1, 2, 0, 131, 4, 0, 0;
307, 1, 4, 0, 132, 1, 0, 0;
308, 1, 4, 0, 132, 2, 0, 0;
309, 1, 4, 0, 132, 3, 0, 0;
310, 1, 4, 0, 132, 4, 0, 0;
311, 1, 4, 0, 133, 1, 0, 0;
312, 1, 1, 0, 133, 2, 0, 0;
313, 1, 3, 0, 133, 3, 0, 0;
314, 1, 2, 0, 133, 4, 0, 0;
315, 1, 6, 0, 134, 1, 0, 0;
316, 1, 5, 0, 134, 2, 0, 0;
317, 1, 6, 0, 134, 3, 0, 0;
318, 1, 2, 0, 135, 1, 0, 0;
319, 1, 3, 0, 135, 2, 0, 0;
320, 1, 1, 0, 135, 3, 0, 0;
321, 1, 4, 0, 135, 4, 0, 0;
322, 1, 5, 0, 136, 1, 0, 0;
323, 1, 6, 0, 136, 3, 0, 0;
324, 1, 1, 0, 137, 1, 0, 0;
325, 1, 1, 0, 137, 2, 0, 0;
326, 1, 1, 0, 137, 3, 0, 0;
327, 1, 1, 0, 137, 4, 0, 0;
328, 1, 3, 0, 138, 1, 0, 0;
329, 1, 3, 0, 138, 2, 0, 0;
330, 1, 3, 0, 138, 3, 0, 0;
331, 1, 3, 0, 138, 4, 0, 0;
332, 1, 2, 0, 139, 1, 0, 0;
333, 1, 2, 0, 139, 2, 0, 0;
334, 1, 2, 0, 139, 3, 0, 0;
335, 1, 2, 0, 139, 4, 0, 0;
336, 1, 4, 0, 140, 1, 0, 0;
337, 1, 4, 0, 140, 2, 0, 0;
338, 1, 4, 0, 140, 3, 0, 0;
339, 1, 4, 0, 140, 4, 0, 0;
340, 1, 5, 0, 141, 1, 0, 0;
341, 1, 5, 0, 141, 2, 0, 0;
342, 1, 6, 0, 141, 3, 0, 0;
343, 1, 6, 0, 141, 4, 0, 0;
344, 1, 5, 0, 142, 1, 0, 0;
345, 1, 3, 0, 142, 2, 0, 0;
346, 1, 1, 0, 142, 3, 0, 0;
347, 1, 1, 0, 143, 1, 0, 0;
348, 1, 2, 0, 143, 2, 0, 0;
349, 1, 6, 0, 143, 3, 0, 0;
350, 1, 5, 0, 143, 4, 0, 0;
351, 1, 2, 0, 144, 1, 0, 0;
352, 1, 2, 0, 144, 3, 0, 0;
353, 1, 2, 0, 145, 1, 0, 0;
